t,I,u,I_nn,u_nn
1.27,11.815951163988446,2.617010281307254,11.635197625781668,2.55618
1.28,11.961474308862064,2.590840178499669,11.777693919101948,2.5302787
1.29,12.10820568346389,2.564931776718696,11.921363523619847,2.50465
1.3,12.25616010914488,2.5392824589541463,12.066220918329474,2.4792905
1.31,12.405352530796504,2.513889634365923,12.212280713823128,2.454201
1.32,12.555798018360331,2.4887507380223295,12.359559415284757,2.4293776
1.33,12.707511768350242,2.46386323064098,12.508068385292324,2.404818
1.34,12.860509105387441,2.4392245983323106,12.657824377629893,2.3805215
1.35,13.01480548374838,2.4148323523456487,12.80884252928431,2.3564835
1.36,13.170416488925818,2.3906840288178253,12.961138108840595,2.3327043
1.37,13.327357839203092,2.3667771885243267,13.11472651648204,2.3091774
1.38,13.485645387241835,2.34310941663275,13.269623283990125,2.2859054
1.39,13.64529512168326,2.3196783224592754,13.425844074744596,2.262881
1.4,13.806323168763159,2.296481539226658,13.583404683723426,2.2401023
1.41,13.968745793940823,2.2735167238255545,13.742321037502784,2.2175674
1.42,14.13257940354202,2.2507815565776843,13.902609194257128,2.1952744
1.43,14.297840546416197,2.228273741001551,14.064285343759082,2.1732194
1.44,14.464545915608083,2.2059910035804684,14.22736775988775,2.1514006
1.45,14.63271235004385,2.1839310935329173,14.391869007631401,2.129812
1.46,14.802356836232022,2.1620917825851906,14.557807607228513,2.1084552
1.47,14.97349650997928,2.140470864746318,14.725200274846285,2.087325
1.48,15.146148658121344,2.119066156085238,14.894063858250076,2.0664208
1.49,15.320330720269139,2.0978754945101965,15.064416330988864,2.045736
1.5,15.496060290570345,2.076896739550357,15.236275804799938,2.025272
1.51,15.673355119486608,2.05612777213959,15.409659115556927,2.0050242
1.52,15.852233115586497,2.035566494402426,15.584583291298248,1.9849911
1.53,16.03271234735446,2.015210829442149,15.761065557796709,1.9651692
1.54,16.21481104501593,1.9950587211310096,15.939123338559511,1.9455565
1.55,16.398547602378745,1.9751081339025347,16.118774254828253,1.926151
1.56,16.583940578691116,1.9553570525459152,16.300036125578927,1.906949
1.57,16.771008700516305,1.9358034820024492,16.482929157534468,1.8879491
1.58,16.959770863624186,1.9164454471640215,16.667467204859914,1.8691487
1.59,17.150246134899923,1.8972809926735963,16.853670850222304,1.8505459
1.6,17.342453754269897,1.878308182727708,17.041558703537564,1.8321373
1.61,17.53641313664516,1.8595251008809255,17.231149572456015,1.8139224
1.62,17.732143873882507,1.8409298498522912,17.422462462362372,1.7958963
1.63,17.92966573676347,1.822520551333555,17.615516576375747,1.7780589
1.64,18.128998676991383,1.8042953457997517,17.810331315349643,1.7604084
1.65,18.33016282920666,1.7862523923209623,18.00692627787196,1.7429416
1.66,18.533178513020633,1.7683898683766681,18.205321260264984,1.7256529
1.67,18.73806623506803,1.7507059696715346,18.405536256585414,1.7085474
1.68,18.944846691078347,1.73319890995318,18.607591458624327,1.6916189
1.69,19.153540767966327,1.7158669208317465,18.811509697947,1.6748632
1.7,19.364169545941756,1.6987082516012744,19.017306700282653,1.6582822
1.71,19.576754300638772,1.6817211690628626,19.22500567036536,1.6418722
1.72,19.79131650526492,1.6649039573495987,19.434627590926134,1.6256309
1.73,20.007877832770152,1.6482549177532406,19.64619364243038,1.6095562
1.74,20.22646015803604,1.6317723685526262,19.859725203077915,1.5936476
1.75,20.44708556008533,1.6154546448438056,20.075243848802906,1.5779006
1.76,20.66977632431217,1.5993000983718682,20.292771353274006,1.5623143
1.77,20.894554944733148,1.583307097364452,20.512329687894137,1.5468882
1.78,21.121444126259412,1.5674740263669185,20.733941021800735,1.5316184
1.79,21.350466786990104,1.5517992860791752,20.957627721865546,1.5165036
1.8,21.58164606052732,1.5362812931941308,21.183412352694756,1.5015422
1.81,21.815005298312826,1.5209184802377635,21.41131767662892,1.4867315
1.82,22.050568071986802,1.5057092954107927,21.64136940901233,1.4720702
1.83,22.28835817576881,1.4906522024319295,21.873585223084948,1.4575576
1.84,22.528399628861248,1.475745680382699,22.107991203970165,1.4431905
1.85,22.770716677875544,1.4609882235538085,22.344610904948546,1.4289663
1.86,23.015333799281287,1.4463783412930609,22.583468077034922,1.4148849
1.87,23.26227570187862,1.4319145578547938,22.82458666897862,1.4009439
1.88,23.511567329294063,1.4175954122507257,23.067990827263333,1.3871418
1.89,23.76323386250009,1.4034194581026118,23.313704896107055,1.3734769
1.9,24.017300722358634,1.3893852634958344,23.561753417462374,1.3599473
1.91,24.273793572188875,1.3754914108349996,23.812161131016065,1.3465512
1.92,24.532738320359474,1.3617364967006527,24.064952974189488,1.333287
1.93,24.794161122905606,1.3481191317075314,24.320154082138217,1.3201535
1.94,25.058088386170958,1.334637940364228,24.577792873624915,1.307149
1.95,25.324546769475052,1.3212915609342473,24.837888737008846,1.2942721
1.96,25.593563187806097,1.3080786452984596,25.10047045734934,1.2815206
1.97,25.865164814539686,1.294997858818926,25.365563960742023,1.2688932
1.98,26.139379084183563,1.2820478802040876,25.633195371016775,1.2563891
1.99,26.416233695148804,1.2692274013753,25.903391009737877,1.2440066
2.0,26.695756612547626,1.2565351273347198,26.176177396204434,1.2317435
2.01,26.977976071018148,1.2439697760343986,26.451581247449433,1.219599
2.02,27.262920577576388,1.2315300782470877,26.729629478240447,1.207572
2.03,27.550618914495715,1.2192147774374542,27.01034920107937,1.1956604
2.04,27.84110014221422,1.2070226296359419,27.293767726202542,1.1838632
2.05,28.134393602270038,1.1949524033122558,27.579914979264323,1.1721802
2.06,28.430528920265214,1.1830028792518341,27.868824477138876,1.1606086
2.07,28.72953600885811,1.171172850431835,28.160524373147183,1.1491477
2.08,29.031445070784965,1.159461121900065,28.455042923489597,1.1377959
2.09,29.3362866019106,1.1478665106534378,28.75240875289432,1.1265529
2.1,29.644091394308887,1.1363878455193084,29.05265085461741,1.1154174
2.11,29.954890539372975,1.1250239670363515,29.355798590442777,1.1043874
2.12,30.268715430955925,1.1137737273382575,29.661881690682197,1.0934619
2.13,30.585597768541703,1.102635990036981,29.970937658067587,1.0826409
2.14,30.905569560447272,1.091609630108753,30.282982223976543,1.0719225
2.15,31.22866312705562,1.0806935337796493,30.598053557141515,1.0613049
2.16,31.55491110408057,1.0698865984138735,30.916182861994464,1.0507891
2.17,31.884346445863212,1.0591877324016032,31.237401711495203,1.0403718
2.18,32.217002428700724,1.048595855049494,31.56174204713139,1.0300534
2.19,32.552912654207496,1.0381098964707582,31.889236178918555,1.0198332
2.2,32.892111052709375,1.0277287974778493,32.219916785400045,1.0097097
2.21,33.234631886670826,1.017451509474727,32.55381691364709,0.9996813
2.22,33.58050975415591,1.0072769943516762,32.89096997925876,0.98974836
2.23,33.92977959232293,0.9972042243797178,33.23140976636197,0.9799088
2.24,34.28247668095354,0.9872321821075206,33.57517042761151,0.97016275
2.25,34.63863664601628,0.9773598602579333,33.922286484190025,0.9605081
2.26,34.998295463265194,0.9675862616267978,34.272792825807954,0.95094514
2.27,35.36148946187376,0.9579103989819943,34.62672471070365,0.9414733
2.28,35.72825532810443,0.9483312949635113,34.98411776564329,0.93209064
2.29,36.09863010901444,0.9388479819852562,35.345007985920944,0.922797
2.3,36.472651216197775,0.9294595021366603,35.70943173535846,0.9135913
2.31,36.85035642956429,0.9201649070865939,36.07742574630559,0.904473
2.32,37.23178390115571,0.9109632579869085,36.449027119639965,0.8954413
2.33,37.616972158999495,0.9018536253782636,36.824273324767006,0.88649577
2.34,38.00596011100045,0.8928350890955894,37.203202199619966,0.8776356
2.35,38.39878704887092,0.8839067381757859,37.58585195066006,0.86885875
2.36,38.79549265209956,0.875067670765068,37.97226115287629,0.860166
2.37,39.19611699195945,0.8663169940285017,38.362468749785485,0.8515564
2.38,39.60070053555559,0.8576538240591918,38.75652349427823,0.8430284
2.39,40.009284149912624,0.8490772857896195,39.15444627815555,0.83458215
2.4,40.42190910610267,0.840586512902637,39.55628649940272,0.8262179
2.41,40.83861708341426,0.8321806477445689,39.962084575656824,0.81793296
2.42,41.25945017356226,0.8238588412379787,40.37188129308279,0.80972826
2.43,41.68445088493963,0.815620252796499,40.78571780637344,0.8016017
2.44,42.113662146911125,0.8074640502393341,41.203635638749184,0.7935549
2.45,42.547127314149705,0.7993894097077855,41.62567668195867,0.7855847
2.46,42.98489017101567,0.7913955155814554,42.05188319627806,0.77769196
2.47,43.42699493597944,0.7834815603964329,42.48229781051177,0.7698761
2.48,43.87348626608794,0.7756467447631662,42.91696352199148,0.7621359
2.49,44.324409261475566,0.767890277286277,43.3559236965773,0.75447077
2.5,44.7798094699196,0.7602113744840814,43.799222068656796,0.74688053
2.51,45.23973289144109,0.7526092607098853,44.246902741145824,0.73936456
2.52,45.70422598295136,0.7450831680734585,44.6990101854874,0.7319225
2.53,46.173335662944424,0.7376323363633077,45.15558924165314,0.72455287
2.54,46.6471093162365,0.7302560129703025,45.61668511814199,0.7172563
2.55,47.125594798752125,0.7229534528111418,46.08234339198112,0.7100309
2.56,47.60884044235825,0.7157239182536166,46.552610008725004,0.7028773
